# area	threshold	value	source	benchmark	status	notes
inline	small_inst_limit	18	src/ssa/opt_o1.bpp	bench/run_microbench.sh	active	O1 conservative inline candidate ceiling
inline	trivial_inst_limit	8	src/ssa/opt_o1.bpp	bench/run_microbench.sh	active	always-small inline candidate marker
bigint	karatsuba_limb_threshold	24	src/std/number.bpp	bench/run_microbench.sh	active	schoolbook to Karatsuba switch
bigint	toom3_limb_threshold	72	src/std/number.bpp	bench/run_microbench.sh	active	Karatsuba to Toom-3 switch
bigint	ntt_limb_threshold	80	src/std/number.bpp	bench/run_microbench.sh	active	large multiplication NTT candidate
bigint	divide_dc_limb_threshold	64	src/std/number.bpp	bench/run_microbench.sh	active	divide-and-conquer division candidate
allocator	gc_default_threshold_bytes	65536	src/std/mem.bpp	bench/run_microbench.sh	active	default auto GC trigger
allocator	loop_hot_threshold	1024	src/std/mem.bpp	bench/run_microbench.sh	active	profile hot path default threshold
vector	vector_min_len	4	src/std/mem.bpp	bench/run_microbench.sh	active	vector fast path minimum length
vector	unroll_min_len	2	src/std/mem.bpp	bench/run_microbench.sh	active	unrolled fast path minimum length
